OTU	Test-Statistic	P	FDR_P	Bonferroni_P	MN_mean	MT_mean	TL_mean	SM_mean	TC_mean	TA_mean	taxonomy
New.CleanUp.ReferenceOTU552	14.7764900662	0.0113612966279	0.0647104217709	1.0	0.0	0.666666666667	5.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Nevskia; s__
247804	14.7520661157	0.011475954119	0.0647104217709	1.0	1.0	0.0	0.0	0.0	36.6666666667	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
2448302	14.7520661157	0.011475954119	0.0647104217709	1.0	1.0	0.0	0.0	0.0	0.0	18.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium; s__rosenbergii
79171	14.7520661157	0.011475954119	0.0647104217709	1.0	1.0	0.0	0.0	0.0	0.0	31.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
231908	14.7520661157	0.011475954119	0.0647104217709	1.0	0.0	0.0	12.0	0.0	0.0	2.0	k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
New.CleanUp.ReferenceOTU272	14.7520661157	0.011475954119	0.0647104217709	1.0	7.0	0.0	0.0	0.0	0.0	30.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
4422872	14.730994152	0.0115757761242	0.0647104217709	1.0	4.0	220.333333333	1302.66666667	68.6666666667	57.6666666667	542.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
309489	14.7234660033	0.0116116419955	0.0647104217709	1.0	317.333333333	0.0	0.0	175.0	3232.66666667	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.ReferenceOTU3	14.6428077455	0.0120027359228	0.0647104217709	1.0	0.666666666667	343.333333333	188.666666667	8.66666666667	14.3333333333	50.6666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__
New.ReferenceOTU288	14.6259157509	0.0120862423546	0.0647104217709	1.0	0.0	0.333333333333	1.66666666667	0.0	0.0	1.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
New.CleanUp.ReferenceOTU338	14.6184442098	0.0121233575118	0.0647104217709	1.0	0.0	19.3333333333	3.66666666667	23.6666666667	6.0	0.666666666667	Unassigned
New.CleanUp.ReferenceOTU74	14.5623441397	0.0124055838212	0.0647104217709	1.0	0.0	1.0	5.33333333333	0.0	0.0	7.33333333333	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
New.CleanUp.ReferenceOTU313	14.5284687673	0.0125790720147	0.0647104217709	1.0	3.33333333333	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
New.CleanUp.ReferenceOTU51	14.5123392423	0.0126625003312	0.0647104217709	1.0	0.333333333333	382.0	33.6666666667	376.0	159.666666667	13.6666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
New.CleanUp.ReferenceOTU57	14.504415011	0.0127036835523	0.0647104217709	1.0	9.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
New.CleanUp.ReferenceOTU1240	14.5	0.0127266851224	0.0647104217709	1.0	0.0	0.0	3.0	0.0	0.0	0.666666666667	Unassigned
New.ReferenceOTU0	14.4710743802	0.0128783836027	0.0647104217709	1.0	5.0	136.333333333	1480.0	77.3333333333	110.666666667	553.666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
