	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_3162_9.txt	3162	9	8.45263	7.05213	8.42727	9.37767	5.95365	6.74078	4.38906	5.21519	6.57806	8.69204	7.28097	4.12095	5.46963	4.47112	5.08803	9.0672	3.1151	9.11795
alpha_rarefaction_3950_0.txt	3950	0	9.14456	7.2756	8.7719	9.27146	6.61017	6.59223	4.86399	5.19085	5.72312	8.77613	7.48481	3.94856	5.47931	5.22016	5.48781	8.88492	2.84963	9.00245
alpha_rarefaction_3950_1.txt	3950	1	8.50239	7.60532	9.03722	9.3391	6.45415	6.49224	4.74525	5.13437	6.63637	8.82231	7.72693	4.68901	5.47635	5.53244	5.51498	9.53747	3.15926	9.21308
alpha_rarefaction_3950_2.txt	3950	2	8.38933	7.44895	8.64246	9.46107	6.47371	6.60636	4.56695	5.3234	6.39972	8.57521	7.33016	4.34814	5.60148	5.18406	5.31399	9.42461	3.1742	8.92097
alpha_rarefaction_3950_3.txt	3950	3	8.62301	6.84139	8.6454	9.55063	6.67104	6.60337	4.84844	5.20263	6.4257	8.68084	7.56351	3.73635	5.58538	3.97542	5.83311	9.51924	3.05862	9.19889
alpha_rarefaction_3950_4.txt	3950	4	9.0866	6.71696	8.60843	9.3477	6.74517	6.64583	4.20388	5.59469	6.85418	8.87609	7.49721	4.46643	5.80247	5.40732	5.6665	9.12105	3.15674	9.02617
alpha_rarefaction_3950_5.txt	3950	5	8.54262	7.84157	8.81961	9.36341	6.98517	6.71226	5.04118	5.27252	6.76085	8.82152	7.60283	4.64802	5.83249	5.30727	5.58184	9.49362	2.89602	9.09866
alpha_rarefaction_3950_6.txt	3950	6	8.84905	7.57291	8.89469	9.339	6.56472	6.64265	4.90259	5.15125	6.35077	8.88222	7.77497	4.15025	5.51199	5.03536	5.62193	9.4616	3.03994	9.12306
alpha_rarefaction_3950_7.txt	3950	7	8.53191	7.19311	8.63768	9.4026	6.71107	6.59089	4.74707	5.39397	6.36844	9.05857	7.33807	3.7469	5.4858	4.4256	5.57383	9.00623	2.9681	9.29899
alpha_rarefaction_3950_8.txt	3950	8	8.71189	7.4082	8.84527	9.58064	6.51168	6.83373	4.76148	5.11902	6.67933	8.83841	7.61041	4.28593	5.59751	5.06029	5.8655	9.19026	3.06887	9.32367
alpha_rarefaction_3950_9.txt	3950	9	8.64727	7.34359	8.791	9.58221	6.39299	6.92815	4.66968	5.33696	6.20078	8.88565	7.76927	4.14477	5.52276	4.86881	5.31507	9.6448	2.98086	8.99955
alpha_rarefaction_4738_0.txt	4738	0	8.8057	6.91081	8.35747	9.69598	6.51814	6.99305	4.90417	5.09184	7.1031	8.99479	7.67658	4.20658	5.63603	4.7106	6.54051	9.67406	3.21128	9.11112
alpha_rarefaction_4738_1.txt	4738	1	8.92866	7.70484	9.10399	9.6598	6.17738	6.91351	4.69834	5.53001	6.90171	9.0401	7.70949	4.35467	5.52808	5.62281	6.01754	9.80145	3.25551	9.17759
alpha_rarefaction_4738_2.txt	4738	2	9.23577	8.1576	9.0649	9.53149	6.61275	6.88835	5.00178	5.34034	7.07698	8.82553	7.74237	4.72857	5.77514	6.15915	6.11356	9.48767	3.0758	9.13134
alpha_rarefaction_4738_3.txt	4738	3	9.11825	7.60913	8.95179	9.44961	6.47905	7.11883	4.98912	5.55123	6.84502	8.96564	7.63013	4.1863	5.58147	4.31975	5.94675	9.32281	3.11316	9.18311
alpha_rarefaction_4738_4.txt	4738	4	9.08136	7.49446	8.65149	9.4719	6.36919	7.07162	4.9723	5.40022	6.76757	8.95663	7.47036	4.74766	5.77368	5.66733	5.69262	9.57377	3.03212	9.05117
alpha_rarefaction_4738_5.txt	4738	5	9.34694	7.51587	8.77194	9.4464	6.58314	6.72997	5.17214	5.28518	6.48452	9.10258	7.75759	4.36513	5.58103	5.81077	6.14192	9.91687	3.32293	9.2156
alpha_rarefaction_4738_6.txt	4738	6	9.29716	7.70784	8.94036	9.55971	6.76135	7.31987	4.76985	5.07292	6.55924	9.218	7.74957	4.62747	5.71039	5.49597	6.18614	9.24252	2.86505	9.01456
alpha_rarefaction_4738_7.txt	4738	7	8.72161	7.38	9.04751	9.56145	7.02995	6.8442	4.63371	5.65864	6.70462	9.18274	7.78408	3.98891	5.46422	5.10926	6.28825	9.57383	3.38137	9.27552
alpha_rarefaction_4738_8.txt	4738	8	8.98662	7.4175	9.20401	9.49903	6.69514	7.12472	5.06589	5.52618	6.64902	9.15583	7.68526	4.90839	5.66432	5.65697	6.08032	9.91782	3.02095	9.22446
alpha_rarefaction_4738_9.txt	4738	9	8.82308	7.86505	8.92821	9.63434	6.67347	6.69318	4.9327	5.45516	6.66244	8.89684	7.58041	4.5831	5.72531	5.20292	5.61663	9.78716	3.282	9.26275
alpha_rarefaction_5526_0.txt	5526	0	9.20885	8.19107	8.95292	9.70553	6.69095	7.25385	5.08963	5.78081	6.98435	9.12766	7.53794	4.53774	5.65889	6.10352	6.72094	9.79755	3.04693	9.19145
alpha_rarefaction_5526_1.txt	5526	1	9.33837	7.53139	8.99171	9.72669	6.69957	7.17461	5.17063	5.40392	6.88962	9.25114	7.7181	4.3878	5.52878	6.03013	6.28599	9.79057	3.0975	9.28648
alpha_rarefaction_5526_2.txt	5526	2	8.78497	7.58588	9.15106	9.67156	6.78468	7.10118	4.87558	5.37145	6.97232	8.76555	7.84309	4.8414	5.77927	5.62092	6.14653	9.53911	3.36469	9.26172
alpha_rarefaction_5526_3.txt	5526	3	8.95446	7.97472	8.98179	9.42835	7.12565	7.06701	4.65311	5.44698	6.77321	8.97605	7.83007	5.00709	5.85933	5.47815	6.26369	9.86769	3.17527	9.31742
alpha_rarefaction_5526_4.txt	5526	4	9.15923	8.15984	8.9273	9.50431	6.80637	7.35804	4.73111	5.6914	6.49761	8.95827	7.4316	5.08755	5.7046	5.88525	6.51429	9.97002	3.4314	9.23634
