	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_4738_3.txt	4738	3	24.0	19.0	20.0	23.0	31.0	22.0	11.0	19.0	15.0	17.0	12.0	17.0	12.0	14.0	23.0	20.0	12.0	11.0
alpha_rarefaction_4738_4.txt	4738	4	23.0	16.0	15.0	26.0	20.0	20.0	16.0	15.0	19.0	13.0	18.0	20.0	12.0	23.0	24.0	23.0	11.0	12.0
alpha_rarefaction_4738_5.txt	4738	5	30.0	18.0	20.0	25.0	18.0	23.0	18.0	15.0	11.0	10.0	18.0	18.0	13.0	23.0	22.0	24.0	11.0	10.0
alpha_rarefaction_4738_6.txt	4738	6	30.0	16.0	18.0	32.0	20.0	19.0	12.0	15.0	15.0	14.0	18.0	18.0	15.0	18.0	20.0	19.0	10.0	15.0
alpha_rarefaction_4738_7.txt	4738	7	25.0	22.0	18.0	26.0	26.0	20.0	20.0	16.0	13.0	20.0	19.0	15.0	9.0	19.0	28.0	21.0	15.0	15.0
alpha_rarefaction_4738_8.txt	4738	8	20.0	19.0	18.0	23.0	23.0	21.0	16.0	19.0	12.0	15.0	22.0	16.0	14.0	19.0	29.0	24.0	8.0	13.0
alpha_rarefaction_4738_9.txt	4738	9	19.0	24.0	18.0	25.0	20.0	16.0	15.0	22.0	16.0	15.0	16.0	16.0	7.0	21.0	20.0	25.0	11.0	9.0
alpha_rarefaction_5526_0.txt	5526	0	21.0	25.0	20.0	23.0	25.0	25.0	13.0	23.0	18.0	15.0	20.0	17.0	10.0	23.0	23.0	17.0	10.0	11.0
alpha_rarefaction_5526_1.txt	5526	1	22.0	14.0	17.0	25.0	22.0	23.0	13.0	14.0	14.0	19.0	19.0	18.0	9.0	27.0	23.0	19.0	13.0	15.0
alpha_rarefaction_5526_2.txt	5526	2	18.0	18.0	21.0	27.0	27.0	17.0	15.0	15.0	13.0	11.0	17.0	21.0	14.0	18.0	23.0	16.0	10.0	12.0
alpha_rarefaction_5526_3.txt	5526	3	21.0	17.0	16.0	17.0	29.0	20.0	14.0	18.0	13.0	11.0	17.0	21.0	16.0	23.0	21.0	20.0	14.0	14.0
alpha_rarefaction_5526_4.txt	5526	4	23.0	25.0	13.0	20.0	32.0	21.0	16.0	19.0	10.0	10.0	17.0	20.0	9.0	25.0	28.0	23.0	14.0	8.0
alpha_rarefaction_5526_5.txt	5526	5	16.0	15.0	16.0	23.0	24.0	19.0	16.0	19.0	15.0	19.0	19.0	18.0	11.0	22.0	24.0	17.0	10.0	11.0
alpha_rarefaction_5526_6.txt	5526	6	21.0	21.0	21.0	30.0	27.0	17.0	16.0	18.0	15.0	16.0	15.0	18.0	17.0	22.0	24.0	19.0	9.0	12.0
