	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_12800_0.txt	12800	0	7.0	7.0	3.0	6.0	18.0	4.0	16.0	7.0	12.0	9.0	24.0	9.0	7.0	20.0	11.0	10.0	7.0	13.0
alpha_rarefaction_12800_1.txt	12800	1	14.0	8.0	7.0	9.0	18.0	6.0	16.0	4.0	15.0	9.0	17.0	8.0	5.0	10.0	14.0	8.0	3.0	9.0
alpha_rarefaction_12800_2.txt	12800	2	11.0	8.0	11.0	10.0	18.0	7.0	10.0	10.0	12.0	15.0	19.0	4.0	6.0	18.0	11.0	7.0	5.0	14.0
alpha_rarefaction_12800_3.txt	12800	3	14.0	16.0	12.0	7.0	18.0	8.0	22.0	10.0	10.0	15.0	14.0	12.0	7.0	19.0	11.0	5.0	6.0	16.0
alpha_rarefaction_12800_4.txt	12800	4	13.0	8.0	5.0	10.0	18.0	8.0	16.0	8.0	15.0	21.0	17.0	9.0	10.0	20.0	11.0	12.0	7.0	14.0
alpha_rarefaction_12800_5.txt	12800	5	10.0	13.0	7.0	9.0	18.0	6.0	13.0	7.0	15.0	16.0	18.0	13.0	8.0	18.0	9.0	9.0	7.0	16.0
alpha_rarefaction_12800_6.txt	12800	6	9.0	12.0	5.0	9.0	18.0	5.0	18.0	4.0	15.0	17.0	17.0	17.0	7.0	15.0	13.0	8.0	6.0	19.0
alpha_rarefaction_12800_7.txt	12800	7	14.0	10.0	10.0	10.0	18.0	10.0	15.0	2.0	15.0	15.0	16.0	14.0	8.0	20.0	9.0	7.0	4.0	14.0
alpha_rarefaction_12800_8.txt	12800	8	10.0	6.0	8.0	9.0	18.0	8.0	17.0	7.0	16.0	19.0	20.0	14.0	12.0	18.0	11.0	12.0	5.0	17.0
alpha_rarefaction_12800_9.txt	12800	9	14.0	7.0	11.0	5.0	18.0	8.0	14.0	9.0	15.0	16.0	11.0	10.0	8.0	17.0	11.0	9.0	4.0	10.0
