taxon	soils1_1	soils2_1	soils3_1	soils4_1
o__FAC87_unclassified	3	3	0	1
o__GMD14H09_unclassified	0	0	48	0
o__GW-28_unclassified	0	0	2	0
o__MBNT15_unclassified	0	6	0	0
o__MIZ46_unclassified	18	13	4	26
f__0319-6G20_unclassified	0	2	0	2
f__Cystobacteraceae_unclassified	28	32	2	10
g__Archangium	1	1	0	0
g__Cystobacter	7	12	0	6
f__Cystobacterineae_unclassified	0	1	12	1
f__Haliangiaceae_unclassified	33	42	8	61
g__Haliangium	0	1	0	0
f__Myxococcaceae_unclassified	50	64	0	6
g__Anaeromyxobacter	44	98	2	56
g__Myxococcus	1	0	0	0
f__Nannocystaceae_unclassified	0	1	0	2
g__Plesiocystis	2	0	1	0
f__OM27_unclassified	2	1	0	0
f__Polyangiaceae_unclassified	41	52	2	25
g__Aetherobacter	0	0	0	4
g__Phaselicystis	0	1	0	1
o__Myxococcales_unclassified	176	170	22	80
f__MND4_unclassified	2	1	0	0
f__NB1-i_unclassified	6	9	0	8
o__NB1-j_unclassified	2	1	0	0
o__NKB15_unclassified	0	0	2	0
o__PB19_unclassified	0	0	1	1
o__Spirobacillales_unclassified	3	0	0	1
f__JTB36_unclassified	4	0	18	7
f__Syntrophaceae_unclassified	0	2	0	8
g__Desulfobacca	0	2	0	9
g__Desulfomonile	1	5	0	4
g__Syntrophus	0	0	0	4
f__Syntrophobacteraceae_unclassified	389	338	21	242
g__Desulfovirga	1	0	0	2
g__Syntrophobacter	3	13	4	14
f__Syntrophorhabdaceae_unclassified	0	2	0	10
g__Syntrophorhabdus	0	0	1	0
o__Syntrophobacterales_unclassified	10	3	0	3
f__[Entotheonellaceae]_unclassified	30	14	0	2
g__Sulfurimonas	0	0	0	1
o__Campylobacterales_unclassified	0	0	1	0
c__Gammaproteobacteria_unclassified	85	63	359	545
o__34P16_unclassified	0	0	0	2
g__Aeromonas	1	1	0	0
f__125ds10_unclassified	0	1	0	2
f__211ds20_unclassified	1	0	0	0
f__Alteromonadaceae_unclassified	0	0	2	35
g__Cellvibrio	1	1	0	182
g__Marinobacter	0	1	10	3
g__Idiomarina	0	0	1	0
f__OM60_unclassified	1	0	0	0
o__Alteromonadales_unclassified	1	0	1	8
g__Allochromatium	0	0	0	1
