taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
o__Halanaerobiales_unclassified	0	0	1	0
f__Anaerobrancaceae_unclassified	1	0	0	0
o__OPB54_unclassified	1	0	4	15
p__Firmicutes_unclassified	11	0	28	6
p__GAL15_unclassified	5	3	0	0
c__GN07_unclassified	0	0	0	1
c__5bav_B12_unclassified	0	0	0	2
c__GN15_unclassified	0	0	4	0
c__Gemm-1_unclassified	115	251	1	74
c__Gemm-2_unclassified	4	1	31	9
c__Gemm-3_unclassified	8	0	0	6
c__Gemm-4_unclassified	20	3	769	4
c__Gemm-5_unclassified	3	5	16	37
c__Gemmatimonadetes_unclassified	54	62	0	35
o__C114_unclassified	0	0	0	1
o__Ellin5290_unclassified	23	22	0	25
f__Ellin5301_unclassified	0	3	0	0
g__Gemmatimonas_unclassified	1	1	0	1
o__Gemmatimonadales_unclassified	0	0	0	5
o__KD8-87_unclassified	5	2	0	3
o__N1423WL_unclassified	29	20	1	5
c__JL-ETNP-Z39_unclassified	0	0	2	0
p__Gemmatimonadetes_unclassified	0	4	4	6
o__JH-WHS47_unclassified	0	66	0	10
c__TSBW08_unclassified	1	0	1	0
p__NKB19_unclassified	0	0	1	0
f__0319-6A21_unclassified	132	171	0	21
g__4-29_unclassified	4	29	0	6
f__Nitrospiraceae_unclassified	1	0	0	1
g__JG37-AG-70_unclassified	3	6	0	1
g__Nitrospira_unclassified	48	15	1	5
f__[Thermodesulfovibrionaceae]_unclassified	0	6	0	3
g__GOUTA19_unclassified	3	9	2	30
g__HB118_unclassified	0	0	0	1
g__LCP-6_unclassified	0	5	0	1
c__ABY1_unclassified	0	2	1	1
c__Mb-NB09_unclassified	0	0	3	2
c__SM2F11_unclassified	2	2	1	2
c__ZB2_unclassified	1	4	1	5
c__KB1_unclassified	13	1	643	0
o__[Acetothermales]_unclassified	3	0	30	1
p__OP1_unclassified	0	0	1	0
c__OP11-3_unclassified	0	1	1	0
c__BD4-9_unclassified	0	0	1	1
c__PBS-25_unclassified	1	2	0	4
f__kpj58rc_unclassified	1	0	1	0
o__GIF10_unclassified	0	0	0	1
p__OP3_unclassified	0	0	0	1
o__HMMVPog-54_unclassified	0	0	8	0
p__PAUC34f_unclassified	0	0	2	0
c__BD7-11_unclassified	0	0	1	2
c__C6_unclassified	0	0	0	2
o__MVS-107_unclassified	2	1	0	17
o__d113_unclassified	1	0	0	0
o__CL500-15_unclassified	4	2	0	7
o__agg27_unclassified	2	8	0	6
c__Phycisphaerae_unclassified	3	3	2	8
o__AKAU3564_unclassified	2	2	10	2
o__CPla-3_unclassified	0	1	0	0
o__MSBL9_unclassified	0	1	14	1
f__Phycisphaeraceae_unclassified	0	0	4	3
o__Phycisphaerales_unclassified	4	1	6	7
o__Pla1_unclassified	0	3	3	2
o__S-70_unclassified	1	2	1	7
o__SHUX583_unclassified	0	0	2	0
o__WD2101_unclassified	45	89	0	54
o__mle1-8_unclassified	2	2	0	4
c__Pla3_unclassified	1	0	0	2
c__Pla4_unclassified	8	5	0	0
c__Planctomycetia_unclassified	15	9	3	6
o__B97_unclassified	3	1	0	0
f__Gemmataceae_unclassified	154	118	0	20
g__Gemmata_unclassified	21	11	0	9
f__Isosphaeraceae_unclassified	36	34	1	26
g__Nostocoida_unclassified	3	3	0	1
o__Gemmatales_unclassified	22	20	0	3
f__Pirellulaceae_unclassified	13	8	4	22
g__A17_unclassified	0	1	0	1
g__Pirellula_unclassified	7	5	0	1
g__Planctomyces_unclassified	10	6	12	22
o__DH61_unclassified	2	0	0	0
o__PeHg47_unclassified	0	0	4	0
o__p04_C01_unclassified	0	1	2	0
