# Constructed from biom file
#OTU ID	S1t1t16s	S2t1t16s	S3t1t16s	S4t1t16s
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__	0.0	0.0	0.00869565217391	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0	0.00579710144928	0.00289855072464
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella	0.0	0.0	0.00289855072464	0.0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae];g__KSA1	0.0	0.0	0.120289855072	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	0.00869565217391	0.0115942028986	0.0	0.0202898550725
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter	0.0	0.0	0.0	0.00289855072464
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__Anaerolinea	0.0	0.00144927536232	0.0	0.00289855072464
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__;g__	0.00144927536232	0.0	0.0101449275362	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__;g__	0.0	0.0	0.0376811594203	0.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__	0.00724637681159	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__P2-11E;o__;f__;g__	0.00144927536232	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__;g__	0.0115942028986	0.0	0.0	0.00144927536232
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88;f__;g__	0.00144927536232	0.0	0.0	0.00289855072464
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__	0.0	0.0	0.00144927536232	0.00144927536232
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus	0.0	0.00289855072464	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.00579710144928	0.00724637681159	0.00434782608696	0.00579710144928
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__	0.00144927536232	0.0144927536232	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__;f__;g__	0.0	0.0	0.00724637681159	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-4;o__;f__;g__	0.0	0.0	0.0753623188406	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__	0.00869565217391	0.0115942028986	0.0	0.00434782608696
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL;f__;g__	0.0	0.00579710144928	0.0	0.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__;g__	0.0	0.00289855072464	0.0	0.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__	0.0275362318841	0.036231884058	0.0	0.00869565217391
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0.00724637681159	0.00434782608696	0.0	0.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Thermodesulfovibrionaceae];g__GOUTA19	0.0	0.0	0.0	0.00434782608696
k__Bacteria;p__OP1;c__KB1;o__;f__;g__	0.0	0.0	0.0942028985507	0.0
k__Bacteria;p__OP8;c__OP8_1;o__HMMVPog-54;f__;g__	0.0	0.0	0.00434782608696	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__;g__	0.0	0.00289855072464	0.0	0.0
k__Bacteria;p__Proteobacteria;c__;o__;f__;g__	0.0	0.0	0.0	0.00434782608696
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__	0.00144927536232	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	0.00289855072464	0.00144927536232	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__	0.00289855072464	0.0	0.0	0.00289855072464
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__	0.00144927536232	0.0	0.0	0.00434782608696
