OTU	Test-Statistic	P	FDR_P	Bonferroni_P	MN_mean	MT_mean	TL_mean	SM_mean	TC_mean	TA_mean	taxonomy
New.CleanUp.ReferenceOTU13688	15.0114818802	0.0103133901233	0.0612555424505	1.0	0.0	11.3333333333	46.3333333333	0.333333333333	0.666666666667	14.3333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__
357011	14.9335399449	0.01065011822	0.0612555424505	1.0	2.0	281.333333333	556.333333333	33.3333333333	41.6666666667	341.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
541761	14.9076923077	0.010764122464	0.0612555424505	1.0	0.0	0.0	24.6666666667	0.666666666667	1.33333333333	10.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__
160246	14.9014722537	0.0107917329383	0.0612555424505	1.0	26.3333333333	0.0	0.0	2.33333333333	19.3333333333	138.333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae
New.ReferenceOTU52	14.8947368421	0.0108217084982	0.0612555424505	1.0	9.33333333333	232.666666667	2714.66666667	144.666666667	217.0	968.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
New.ReferenceOTU11	14.8947368421	0.0108217084982	0.0612555424505	1.0	2.0	30.3333333333	303.333333333	12.0	14.0	146.666666667	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
1105814	14.8853948288	0.0108634182636	0.0612555424505	1.0	0.0	95.3333333333	25.0	2.33333333333	3.0	7.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
79171	14.8374558304	0.0110799179622	0.0612555424505	1.0	81.0	0.0	2.0	0.0	3.0	1083.66666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
4302975	14.7764900662	0.0113612966279	0.0612555424505	1.0	1.66666666667	0.0	0.0	0.0	0.0	4.66666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.CleanUp.ReferenceOTU13936	14.7764900662	0.0113612966279	0.0612555424505	1.0	0.666666666667	0.0	0.0	0.0	0.0	9.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
568617	14.7696280992	0.0113933973055	0.0612555424505	1.0	1.66666666667	23.3333333333	680.333333333	44.0	56.3333333333	293.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
266584	14.7653417015	0.0114134939024	0.0612555424505	1.0	0.0	118.333333333	112.666666667	5.0	5.33333333333	32.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
1086282	14.760373444	0.0114368303547	0.0612555424505	1.0	0.333333333333	20.3333333333	94.6666666667	5.0	7.0	30.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
344789	14.623871221	0.0120963876824	0.0612555424505	1.0	0.0	0.0	46.3333333333	2.0	2.66666666667	21.6666666667	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
100877	14.6170212766	0.0121304384861	0.0612555424505	1.0	1.0	0.0	0.0	0.0	1.33333333333	4.66666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__
New.ReferenceOTU32	14.599862259	0.0122161432675	0.0612555424505	1.0	3.33333333333	72.0	319.333333333	23.6666666667	23.6666666667	161.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
New.CleanUp.ReferenceOTU13080	14.5952699688	0.0122391798293	0.0612555424505	1.0	1.33333333333	0.0	0.0	0.0	0.666666666667	20.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas
New.ReferenceOTU47	14.5469996531	0.0124838796447	0.0612555424505	1.0	0.666666666667	18.0	99.3333333333	6.0	5.66666666667	57.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
New.ReferenceOTU44	14.5296143251	0.0125731670137	0.0612555424505	1.0	1.0	35.6666666667	492.666666667	21.0	37.3333333333	190.0	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__; s__
4364412	14.5071403692	0.01268950492	0.0612555424505	1.0	0.0	17.0	72.6666666667	5.66666666667	4.33333333333	42.6666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
4394913	14.4777646596	0.0128431420805	0.0612555424505	1.0	0.0	0.0	12.3333333333	0.666666666667	0.666666666667	3.33333333333	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
316776	14.3871595331	0.0133284363124	0.0612555424505	1.0	27.6666666667	0.0	0.0	0.0	0.333333333333	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales; f__; g__; s__
247804	14.3871595331	0.0133284363124	0.0612555424505	1.0	0.333333333333	0.0	0.0	0.0	55.3333333333	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
190531	14.3871595331	0.0133284363124	0.0612555424505	1.0	0.0	0.0	20.0	0.0	0.0	1.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
188798	14.3871595331	0.0133284363124	0.0612555424505	1.0	0.0	0.0	0.333333333333	0.0	56.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
50968	14.3871595331	0.0133284363124	0.0612555424505	1.0	0.0	0.0	0.0	1.33333333333	36.6666666667	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
295330	14.3871595331	0.0133284363124	0.0612555424505	1.0	59.3333333333	0.0	0.666666666667	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
